epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1804.23,0.5879,0.34337,0.82412,0.76147,0.65451,0.68882,0.35308,1.45938,0.79089,1.1367,0.000318158,0.000318158,0.000318158
58,1835.39,0.5875,0.34266,0.82556,0.77611,0.6425,0.69387,0.35504,1.4689,0.78541,1.15181,0.00031109,0.00031109,0.00031109
59,1866.54,0.57861,0.33823,0.81991,0.77215,0.65086,0.70167,0.35436,1.49895,0.80129,1.14991,0.000304021,0.000304021,0.000304021
60,1897.48,0.57722,0.33717,0.82372,0.76124,0.66015,0.70017,0.35689,1.49299,0.79188,1.15304,0.000296953,0.000296953,0.000296953
61,1928.45,0.57336,0.3362,0.81953,0.77557,0.64788,0.70265,0.35769,1.48795,0.79438,1.14702,0.000289884,0.000289884,0.000289884
62,1959.54,0.57189,0.33393,0.82101,0.76313,0.65374,0.69978,0.36155,1.44967,0.76824,1.13915,0.000282815,0.000282815,0.000282815
63,1990.7,0.55846,0.32837,0.82122,0.77365,0.6439,0.69799,0.35973,1.47438,0.79762,1.15113,0.000275747,0.000275747,0.000275747
64,2021.69,0.5623,0.32922,0.81975,0.78596,0.64224,0.70042,0.36129,1.4574,0.79378,1.13824,0.000268678,0.000268678,0.000268678
65,2052.84,0.55381,0.32466,0.81887,0.77866,0.64655,0.70359,0.36325,1.45041,0.77779,1.12337,0.00026161,0.00026161,0.00026161
66,2083.88,0.55551,0.3283,0.81904,0.77489,0.64788,0.70054,0.35933,1.44745,0.77171,1.13358,0.000254541,0.000254541,0.000254541
67,2115.04,0.54852,0.32366,0.81874,0.77503,0.64538,0.69899,0.35815,1.45002,0.77513,1.13217,0.000247472,0.000247472,0.000247472
68,2146.12,0.55208,0.3241,0.8186,0.76781,0.64987,0.70057,0.36378,1.43721,0.76551,1.12688,0.000240404,0.000240404,0.000240404
69,2177.26,0.5488,0.32376,0.8175,0.77681,0.64855,0.70483,0.3601,1.4636,0.76833,1.132,0.000233335,0.000233335,0.000233335
70,2208.29,0.54162,0.31865,0.81892,0.78118,0.64628,0.70359,0.36066,1.45334,0.78224,1.13317,0.000226267,0.000226267,0.000226267
71,2239.51,0.53451,0.3161,0.81492,0.77442,0.64654,0.7015,0.35915,1.45715,0.77798,1.13905,0.000219198,0.000219198,0.000219198
72,2270.69,0.54139,0.3183,0.81637,0.7877,0.6434,0.70293,0.35834,1.47603,0.7834,1.14224,0.000212129,0.000212129,0.000212129
73,2301.83,0.53458,0.31415,0.8186,0.78134,0.64216,0.69825,0.35772,1.47427,0.7955,1.1424,0.000205061,0.000205061,0.000205061
74,2332.95,0.53939,0.31849,0.81793,0.77549,0.64987,0.69969,0.35476,1.46222,0.77884,1.1323,0.000197992,0.000197992,0.000197992
